,coordenadas_tupla
151,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
587,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
987,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
1241,"[{'lat': '22.07521', 'lon': '-159.31895', 'name': ""Kapa'a"", 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
1303,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
1533,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
1961,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2110,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2318,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
2808,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
4468,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
4993,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
6304,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
6511,"[{'lat': '-27.11124', 'lon': '-109.35053', 'name': 'Ostrov Paskhi', 'admin1': '', 'admin2': '', 'cc': 'CL'}]"
6883,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
7213,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
9429,"[{'lat': '22.21208', 'lon': '-159.41342', 'name': 'Kilauea', 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
9490,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
9544,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
9631,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10467,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10612,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10721,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
10738,"[{'lat': '48.99372', 'lon': '-122.74712', 'name': 'Blaine', 'admin1': 'Washington', 'admin2': 'Whatcom County', 'cc': 'US'}]"
11283,"[{'lat': '24.67153', 'lon': '-81.49842', 'name': 'Cudjoe Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
12629,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
13539,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
14020,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
16792,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
16842,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
17958,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
18611,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
18687,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
18722,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
18839,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
19273,"[{'lat': '4.86992', 'lon': '-2.24046', 'name': 'Axim', 'admin1': 'Western', 'admin2': '', 'cc': 'GH'}]"
22329,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
23382,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
23491,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
23529,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
24057,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
24684,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
26095,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
26247,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
26251,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
26840,"[{'lat': '19.11219', 'lon': '-96.63531', 'name': 'Sonora', 'admin1': 'Veracruz', 'admin2': 'Comapa', 'cc': 'MX'}]"
27617,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
28845,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
28992,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
29949,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
30501,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
31339,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
32205,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
32413,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
32804,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
33413,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
35564,"[{'lat': '22.21758', 'lon': '-159.47888', 'name': 'Princeville', 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
35587,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
35598,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
36151,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
36405,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
36779,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
36960,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
37102,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
37474,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
40496,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
40644,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
40855,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
42377,"[{'lat': '24.9243', 'lon': '-80.62784', 'name': 'Islamorada', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
43831,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
43870,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
44839,"[{'lat': '16.33194', 'lon': '-98.37778', 'name': 'Santo Domingo Armenta', 'admin1': 'Oaxaca', 'admin2': 'Santo Domingo Armenta', 'cc': 'MX'}]"
45825,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
46136,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
46526,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
46752,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
47125,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
47700,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
47760,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
48441,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
48510,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
48517,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
49008,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
49874,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
50255,"[{'lat': '24.9243', 'lon': '-80.62784', 'name': 'Islamorada', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
50439,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
51023,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
52013,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
52697,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
53129,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
53148,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
55023,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
55182,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
55819,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
56168,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
56471,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
56601,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
56635,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
57999,"[{'lat': '50.63955', 'lon': '-93.23526', 'name': 'Ear Falls', 'admin1': 'Ontario', 'admin2': '', 'cc': 'CA'}]"
58054,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
58225,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
58474,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
58577,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
59481,"[{'lat': '24.71375', 'lon': '-81.09035', 'name': 'Marathon', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
59819,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
61954,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
62319,"[{'lat': '24.9243', 'lon': '-80.62784', 'name': 'Islamorada', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
63969,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
63972,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
64071,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
65301,"[{'lat': '22.14226', 'lon': '-159.31388', 'name': 'Anahola', 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
65780,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
66140,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
66620,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
66951,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
67952,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
68139,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
68857,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
69719,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
69804,"[{'lat': '24.67153', 'lon': '-81.49842', 'name': 'Cudjoe Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
70025,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
70510,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
70567,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
72136,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
72190,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
73334,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
73392,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
73774,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
73786,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
74644,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
75462,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
75479,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
75789,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
75880,"[{'lat': '24.67153', 'lon': '-81.49842', 'name': 'Cudjoe Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
76027,"[{'lat': '24.5557', 'lon': '-81.78259', 'name': 'Key West', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
76724,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
77375,"[{'lat': '22.21208', 'lon': '-159.41342', 'name': 'Kilauea', 'admin1': 'Hawaii', 'admin2': 'Kauai County', 'cc': 'US'}]"
77714,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
78183,"[{'lat': '-27.11124', 'lon': '-109.35053', 'name': 'Ostrov Paskhi', 'admin1': '', 'admin2': '', 'cc': 'CL'}]"
78222,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
78348,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
78591,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
78792,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
80799,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
80859,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
81503,"[{'lat': '4.86992', 'lon': '-2.24046', 'name': 'Axim', 'admin1': 'Western', 'admin2': '', 'cc': 'GH'}]"
81953,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
82172,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
82615,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
83457,"[{'lat': '36.41362', 'lon': '94.8157', 'name': 'Guolemude', 'admin1': 'Heilongjiang Sheng', 'admin2': '', 'cc': 'CN'}]"
83481,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
84739,"[{'lat': '24.66987', 'lon': '-81.35397', 'name': 'Big Pine Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
86343,"[{'lat': '24.67153', 'lon': '-81.49842', 'name': 'Cudjoe Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
86830,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
88235,"[{'lat': '24.53972', 'lon': '-104.32707', 'name': 'Panuco de Coronado', 'admin1': 'Durango', 'admin2': '', 'cc': 'MX'}]"
90258,"[{'lat': '24.56709', 'lon': '-81.73842', 'name': 'Stock Island', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
91021,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
92237,"[{'lat': '24.59653', 'lon': '-81.66009', 'name': 'Big Coppitt Key', 'admin1': 'Florida', 'admin2': 'Monroe County', 'cc': 'US'}]"
